date,NO3-N_ugL_YRZ,NO3-N_ugL_YHZ
2011/9/7,28.818,
2011/9/8,26.125,
2011/9/9,282.926,
2011/9/10,268.334,
2011/9/11,301.786,
2011/9/12,375.566,
2011/9/13,329.773,
2011/9/14,270.026,772.105
2011/9/15,266.582,1001.229
2011/9/16,264.431,1065.526
2011/9/17,242.455,1120.007
2011/9/18,241.893,1220.758
2011/9/19,224.622,1363.101
2011/9/20,206.914,1383.588
2011/9/21,192.555,1450.385
2011/9/22,169.084,1372.718
2011/9/23,159.543,1356.956
2011/9/24,156.791,1402.987
2011/9/25,146.593,1387.985
2011/9/26,126.611,1321.647
2011/9/27,131.393,1132.127
2011/9/28,168.181,993.151
2011/9/29,210.092,1090.072
2011/9/30,175.866,972.387
2011/10/1,175.785,1038.646
2011/10/2,174.77,1022.055
2011/10/3,159.207,1096.174
2011/10/4,119.471,1192.94
2011/10/5,118.983,1174.828
2011/10/6,199.943,1197.285
2011/10/7,169.859,1163.588
2011/10/8,243.302,1298.599
2011/10/9,167.454,1357.011
2011/10/10,187.544,1349.626
2011/10/11,337.318,1357.761
2011/10/12,493.82,963.342
2011/10/13,388.922,357.684
2011/10/14,336.505,333.645
2011/10/15,329.844,545.638
2011/10/16,335.047,758.791
2011/10/17,332.798,895.147
2011/10/18,326.098,954.162
2011/10/19,297.425,1035.711
2011/10/20,279.069,1067.193
2011/10/21,267.904,1115.294
2011/10/22,269.986,1150.848
2011/10/23,274.403,1206.226
2011/10/24,272.474,1187.255
2011/10/25,242.107,982.463
2011/10/26,217.132,872.481
2011/10/27,209.24,914.587
2011/10/28,181.487,988.071
2011/10/29,158.988,787.284
2011/10/30,143.656,854.052
2011/10/31,119.242,984.616
2011/11/1,109.099,1065.269
2011/11/2,100.917,1101.844
2011/11/3,87.995,1046.786
2011/11/4,82.312,1016.952
2011/11/5,76.109,1005.505
2011/11/6,82.111,1019.827
2011/11/7,81.996,1018.567
2011/11/8,92.293,1022.402
2011/11/9,111.484,1070.581
2011/11/10,138.686,1087.437
2011/11/11,143.563,1069.759
2011/11/12,152.843,1024.459
2011/11/13,242.781,1031.762
2011/11/14,369.197,1040.635
2011/11/15,243.95,1056.231
2011/11/16,229.395,1091.727
2011/11/17,311.538,1142.259
2011/11/18,259.803,1151.875
2011/11/19,223.954,1197.209
2011/11/20,212.437,1200.543
2011/11/21,197.861,1220.129
2011/11/22,193.703,971.161
2011/11/23,193.746,977.157
2011/11/24,184.885,944.335
2011/11/25,184.611,934.509
2011/11/26,217.251,935.233
2011/11/27,218.611,757.87
2011/11/28,196.169,739.131
2011/11/29,184.24,793.558
2011/11/30,171.352,673.152
2011/12/1,206.19,690.61
2011/12/2,235.948,744.053
2011/12/3,393.454,611.082
2011/12/4,870.182,1201.688
2011/12/5,633.59,830.322
2011/12/6,560.137,766.892
2011/12/7,572.15,902.898
2011/12/8,813.995,1160.313
2011/12/9,1040.313,1317.063
2011/12/10,1114.918,1584.637
2011/12/11,1005.24,2150.937
2011/12/12,905.628,2347.783
2011/12/13,874.869,1976.392
2011/12/14,985.199,2223.623
2011/12/15,1048.737,2837.76
2011/12/16,995.861,2981.268
2011/12/17,1075.924,3386.538
2011/12/18,1043.666,3983.517
2011/12/19,984.619,4178.394
2011/12/20,941.188,4233.814
2011/12/21,884.448,4277.29
2011/12/22,840.125,4329.916
2011/12/23,807.832,3916.194
2011/12/24,889.326,3956.832
2011/12/25,936.105,4375.734
2011/12/26,828.798,4471.658
2011/12/27,802.4,4483.403
2011/12/28,806.346,4507.237
2011/12/29,789.175,4476.471
2011/12/30,754.674,4093.868
2011/12/31,784.988,4158.095
2012/1/1,740.085,3952.271
2012/1/2,762.797,3884.119
2012/1/3,818.451,4173.773
2012/1/4,783.435,4107.486
2012/1/5,723.917,3515.955
2012/1/6,861.386,4405.335
2012/1/7,652.798,4641.995
2012/1/8,742.559,4372.25
2012/1/9,905.353,4537.738
2012/1/10,752.729,4664.95
2012/1/11,623.765,4770.569
2012/1/12,554.931,4651.86
2012/1/13,519.223,4322.531
2012/1/14,554.931,4371.78
2012/1/15,579.05,4400.715
2012/1/16,587.35,4586.805
2012/1/17,559.461,4674.866
2012/1/18,552.751,4566.854
2012/1/19,511.532,4408.265
2012/1/20,482.686,3878.059
2012/1/21,511.575,3872.059
2012/1/22,447.296,3465.545
2012/1/23,480.681,3309.772
2012/1/24,546.469,4101.055
2012/1/25,544.773,4494.427
2012/1/26,536.616,4610.88
2012/1/27,537.892,4692.351
2012/1/28,525.771,4657.365
2012/1/29,522.118,4629.769
2012/1/30,589.012,4638.161
2012/1/31,1991.431,4455
2012/2/1,1081.214,4781.93
2012/2/2,457.02,4671.408
2012/2/3,83.469,4811.27
2012/2/4,62.387,4464.823
2012/2/5,78.573,4443.741
2012/2/6,489.421,4372.454
2012/2/7,262.182,4315.975
2012/2/8,302.946,4088.14
2012/2/9,568.938,4024.533
2012/2/10,427.483,3979.909
2012/2/11,707.738,3926.436
2012/2/12,814.458,3862.141
2012/2/13,422.055,3743.528
2012/2/14,922.067,3652.441
2012/2/15,846.271,3553.867
2012/2/16,407.514,3426.641
2012/2/17,417.551,3373.279
2012/2/18,453.196,3412.601
2012/2/19,529.684,2630.588
2012/2/20,572.459,2655.653
2012/2/21,555.272,2816.268
2012/2/22,516.529,2852.322
2012/2/23,467.313,2635.329
2012/2/24,450.624,2337.619
2012/2/25,610.884,2520.627
2012/2/26,673.469,2782.247
2012/2/27,696.637,2908.266
2012/2/28,647.182,2946.967
2012/2/29,570.4,3011.214
2012/3/1,550.14,3145.126
2012/3/2,543.12,3203.03
2012/3/3,518.596,3225.239
2012/3/4,487.921,3253.417
2012/3/5,464.717,3258.631
2012/3/6,452.96,3292.92
2012/3/7,451.964,3373.799
2012/3/8,430.239,3271.581
2012/3/9,379.782,2870.109
2012/3/10,367.639,2791.189
2012/3/11,346.504,2754.02
2012/3/12,315.162,2677.258
2012/3/13,398.611,2591.343
2012/3/14,625.678,2509.12
2012/3/15,611.249,2603.944
2012/3/16,600.618,2550.181
2012/3/17,588.972,2501.805
